组,关系,技能（优先级高→低）,技能ID,效果说明
敏捷,互斥,高级敏捷＞敏捷,86＞36,速度提升20%／10%
强力,互斥,高级强力＞强力,87＞37,攻击提升 等级×0.55／×0.4
防御,互斥,高级防御＞防御,88＞38,防御提升 等级×0.8／×0.6
飞行,互斥,高级飞行＞飞行,74＞24,闪避率+30%／+20%；受物理伤害-2%／-1%
必杀,互斥,高级必杀＞必杀,81＞31,暴击率+20%／+10%（大快朵颐时再加10%）
夜战,互斥,高级夜战＞夜战,75＞25,夜间伤害+10%／+5%；受法术伤害-2%／-1%
连击,互斥,理直气壮＞高级连击＞连击,136＞73＞23,物理攻击几率追加连击（理直气壮额外再连1次）
法术暴击,互斥,魔火焚世＞高级法术暴击＞法术暴击,297＞98＞48,法术攻击几率暴击（叱咤风云再加10%）
法术连击,互斥,高级法术连击＞法术连击,97＞47,法术攻击几率追加50%伤害的连击（仅限备注[Multi]技能）
法术波动,互斥,高级法术波动＞法术波动,99＞49,法术伤害波动：高级-10%~+30%；普通±20%
毒,互斥,高级毒＞毒,90＞40,攻击几率附加中毒
神佑复生,互斥,高级神佑复生＞神佑复生,94＞44,死亡时按几率满血复活
鬼魂术,互斥,高级鬼魂术＞鬼魂术,92＞42,死亡后以鬼魂形态战斗，5回合后复活
隐身,互斥,高级隐身＞隐身＞修罗隐身,76＞26＞285,进入隐身；受物理伤害-15%（隐身/修罗隐身-20%）
反击,互斥,高级反击＞反击,70＞20,受物理攻击按几率反击（偷袭无效）
驱鬼,互斥,高级驱鬼＞驱鬼,91＞41,对鬼魂单位伤害提高
慧根,互斥,高级慧根＞慧根,80＞30,技能MP消耗×0.5／×0.75
永恒,互斥,高级永恒＞永恒,85＞35,增益状态持续回合+4／+2
再生,互斥,高级再生＞再生,78＞28,每回合回复气血：等级×1（高级）／等级×0.5（普通）
冥思,互斥,高级冥思＞冥思,79＞29,每回合回复法力：等级×1/3（高级）／×1/4（普通）
偷袭,互斥,高级偷袭＞偷袭,89＞39,物理伤害+10%／+5%；免疫反击、反震
招架,互斥,高级招架＞招架,84＞34,受物理伤害-20%／-10%（对方有强力时无效）
法术抵抗,互斥,高级法术抵抗＞法术抵抗,55＞50,受法术伤害-10%／-5%
合纵,互斥,高级合纵＞合纵,57＞52,物理伤害+等级×参战宠物种类数／2（高级）／4（普通）；自身被封印几率+10%
魔之心,互斥,高级魔之心＞魔之心,93＞43,法术伤害+20%／+10%
吸血,互斥,高级吸血＞吸血,72＞22,吸血：技能伤害10%／20%；普通攻击15%／30%
反震,互斥,高级反震＞反震,71＞21,受物理攻击反震50%／25%伤害（偷袭无效）
法术反震,互斥,高级法术反震＞法术反震,58＞53,受法术攻击反震50%／25%伤害
追击,互斥,翩鸿追击＞苍鸾怒击＞嗜血追击,211＞125＞123,击败目标后几率追加攻击（苍鸾伤害×0.7）
盾气,互斥,高级盾气＞盾气,56＞51,回合开始获得护盾：等级×0.4／0.2×持续回合
精神集中,互斥,高级精神集中＞精神集中,95＞45,封印免疫；速度降低10%／20%
否定信仰,互斥,高级否定信仰＞否定信仰,96＞46,封印免疫；法术伤害-10%／-20%
神迹,互斥,高级神迹＞神迹,83＞33,封印免疫；物理伤害-10%／-20%
独行,可叠加,高级独行＋独行,59＋54,两者都能免疫封印（OR组）；高级独行增加自身的2%法术防御
封印免疫,可叠加(OR),高级精神集中／精神集中／高级否定信仰／否定信仰／高级神迹／神迹／高级独行／独行,95／45／96／46／83／33／59／54,以上任意一个即免疫封印，多个可共存（每组内高级＞普通仍互斥）
幸运,可叠加,高级幸运＋幸运,82＋32,两者都免疫暴击（OR）；高级幸运额外魔攻+5%
感知,可叠加,高级感知＋感知,77＋27,两者都能识破隐身（OR）；高级感知额外闪避+10%
低级法术,独立,牛刀小试,9,普攻两个敌人（行走江湖的初级技能）
低级法术,独立,烈火,10,给予三个敌人伤害。
特殊技能,独立,惊心一剑,101,发动物理攻击单个敌人，在造成伤害的同时也会减少对方的魔法值 （减少的魔法值=造成的伤害值）
特殊技能,独立,死亡召唤,102,发动物理攻击单个敌人，在造成伤害的同时会降低对手的气血上限 （减少的气血上限=造成的伤害/10）
特殊技能,独立,善恶有报,103,发动物理攻击单个敌人，攻击时有一定几率给予对手造成双倍的伤害，也有可能为对方恢复一定气血
特殊技能,独立,力劈华山,104,对敌人造成物理伤害 （当自身攻击力高于敌方时会造成高额伤害）
特殊技能,独立,夜舞倾城,105,发动物理攻击单个敌人 (造成的物理伤害=自身力量点*1.5+自身速度/3)
特殊技能,独立,壁垒击破,106,用此技能攻击敌人时，会忽视一切有关防御加成的效果 (无视“防御”被动和“百分比防御”的抗性加成)
特殊技能,独立,剑荡四方,107,使用后可以攻击3个的不同敌人 （平均伤害为平时的70%）
特殊技能,独立,法力陷阱,108,对单个敌人造成法术伤害的同时减少其魔法值，并且增加自身的魔法值 （减少的魔法值=敌方人数*50;增加的魔法值=减少魔法值的50%）
特殊技能,独立,八凶法阵,109,发动法术攻击3个敌人 (造成120%的魔法伤害)
特殊技能,独立,天降灵葫,110,群体法术攻击5个敌人 (造成110%的魔法伤害)
特殊技能,独立,月光,111,群体法术攻击4个敌人 (当攻击结束时，会对选择的目标再攻击一次)
特殊技能,独立,食指大动,112,强化的唧唧歪歪，对全体敌人造成“自身等级*6+150”的伤害
特殊技能,独立,烈火,113,施展法术对单个敌人造成伤害.
特殊技能,独立,水攻,114,施展法术对单个敌人造成伤害.
特殊技能,独立,落岩,115,施展法术对单个敌人造成伤害.
特殊技能,独立,雷击,116,施展法术对单个敌人造成伤害.
特殊技能,独立,泰山压顶,117,"发动法术攻击敌人 (技能目标为自身等级/30+1,最多为3个目标)"
特殊技能,独立,地狱烈火,118,"发动法术攻击敌人 (技能目标为自身等级/30+1,最多为3个目标)"
特殊技能,独立,水漫金山,119,"发动法术攻击敌人 (技能目标为自身等级/30+1,最多为3个目标)"
特殊技能,独立,奔雷咒,120,"发动法术攻击敌人 (技能目标为自身等级/30+1,最多为3个目标)"
特殊技能,独立,迟钝,121,很不幸，此单位的速度减少了20%
特殊技能,独立,法术防御,122,减少自身受到的65%魔法伤害，但会增加自身受到的35%物理伤害
特殊技能,独立,灵能激发,124,对敌人法术伤害效果提升（10+灵力/4*0.02）%
特殊技能,独立,从天而降,126,普通攻击单个敌人时，有三分之一的概率造成150%的物理伤害
特殊技能,独立,大快朵颐,127,会大大提升“连击/高级连击”和“必杀/高级必杀”的触发几率
特殊技能,独立,浮云神马,128,战斗中提高自己及主人20%的速度
特殊技能,独立,灵山禅语,129,增加自身（5+灵力/4*0.02）%的魔法防御
特殊技能,独立,龙魂,130,每次成功使用法术后会提升自身5%的魔法伤害 (每场战斗提升的上限为30%)
特殊技能,独立,千钧一怒,131,普通攻击造成伤害的同时会回复主人的魔法值 （回复的魔法值=伤害的10%）
特殊技能,独立,无畏布施,132,增加自身的15%物理防御、15%魔法防御 （降低自身的10%敏捷）
特殊技能,独立,须弥真言,133,战斗中增加自身灵力*0.4的魔法伤害
特殊技能,独立,津津有味,134,普通攻击造成伤害的同时会回复主人的气血 （回复的气血值=伤害的30%）
特殊技能,独立,叱咤风云,135,此技能会大大提升“法术连击/高级法术连击”和“法术暴击/高级法术暴击”的触发几率
特殊技能,独立,凝光炼彩,137,受到法术攻击时有25%概率会加血 （加血值=受到伤害的50%）
特殊技能,独立,净台妙谛,138,增加自身体质*2的气血上限
五庄观,独立,炼气化神,181,一定回合内补充自己或队友的魔法
五庄观,独立,驱魔,182,解除方寸山封类法术的影响
五庄观,独立,日月乾坤,183,令对手一定回合内无法行动
五庄观,独立,三花聚顶,184,消耗自己一定的气血来补充自己的魔法
五庄观,独立,生命之泉,185,一定回合内补充自己和队友的气血 (技能目标为 自身等级/30+1 )
五庄观,独立,烟雨剑法,186,使用后可以连续攻击对手两次
五庄观,独立,飘渺式,187,"使用后可以攻击不同敌人 (数目为 等级/30+1 ,最多目标为3人)"
五庄观,独立,驱尸,188,使用后可以解除中毒的状态
五庄观,独立,天地同寿,189,让全体队友附加法术防御效果，免疫受到的50%法术伤害 （持续3回合）
五庄观,独立,化气为灵,190,召唤葫芦灵兽参与战斗，其属性为召唤者属性的80%
化生,独立,唧唧歪歪,192,施展法术技能攻击敌人 (技能目标为 自身等级/20+1 )
化生,独立,金刚护法,193,战斗中临时提高自己或队友的物理伤害 (技能目标为 自身等级/30+1 )
化生,独立,金刚护体,194,战斗中临时提高自己或队友的物理防御 (技能目标为 自身等级/30+1 )
化生,独立,一苇渡江,195,战斗中临时提高自己或队友的敏捷速度 (技能目标为 自身等级/30+1 )
化生,独立,我佛慈悲,196,可以复活死亡的队友 (复活后的气血值=使用者的等级值)
化生,独立,针灸,197,使用后可以恢复单个队友的气血
化生,独立,推气过宫,198,使用后可以恢复多个队友的气血 (技能目标为 自身等级/30+1 )
化生,独立,解毒,199,使用后可以解除中毒的状态
化生,独立,舍生取义,200,复活一名阵亡的队友，转移自身当前气血的80%到队友身上
化生,独立,佛法无边,201,让队友释放“法术攻击型“技能时候，有概率会再释放一次 （持续5回合）
大唐官府,独立,横扫千军,203,"连续攻击对方3次,休息一回合 (休息时无法行动)"
大唐官府,独立,后发制人,204,选择一个目标后，当前回合进入蓄力状态，在下个回合会先手对此目标造成240%的物理伤害
大唐官府,独立,杀气诀,205,战斗中临时提高自己或队友的命中
大唐官府,独立,反间之计,206,施放法术令对方混乱 (混乱状态下的单位会攻击队友)
大唐官府,独立,破釜沉舟,207,"使用后可以攻击不同的敌人,使用后休息一回合 （目标数为等级/100+3）"
大唐官府,独立,抛砖引玉,208,对一个敌人造成物理伤害的同时，让施法者自身附带“极度疯狂”的反击效果 （持续3回合）
大唐官府,独立,万剑归一,209,对目标发动4~7次攻击，伤害是普通攻击的80%，使用后休息一回合 (攻击次数=等级/25+1，最高为7次)
大唐官府,独立,安神诀,210,战斗中提升自己的灵力
大唐官府,独立,单刀直入,212,对一个敌人造成物理伤害的同时，让施法者自身附带“一苇渡江”的加速效果 （持续3回合）
天宫,独立,天神护体,214,战斗中提升自己的灵力
天宫,独立,知己知彼,215,使用后可以得知对方的当前气血值
天宫,独立,宁心,216,解除女儿村封类法术的负面状态
天宫,独立,错乱,217,施放法术令对方混乱 (混乱状态下的单位会攻击队友)
天宫,独立,百万神兵,218,令对方无法使用物理攻击
天宫,独立,天雷斩,219,"使用后可以攻击不同敌人 (数目为 等级/30+1 ,最多目标为3人)"
天宫,独立,五雷轰顶,220,"一半几率造成敌人当前气血12.5%的伤害,一半几率造成5%的伤害 (对剧情BOSS只造成1%的伤害)"
天宫,独立,金刚镯,221,一定回合内降对方的物理伤害
天宫,独立,雷霆万钧,222,"施展法术攻击对方,造成高伤害 （技能目标为 等级/50+1 ）"
天宫,独立,临危不乱,223,召唤巡守神将参与战斗，其属性为召唤者属性的80%
女儿,独立,满天花雨,225,"临时提升自身的伤害攻击对方,并可能使对手中毒."
女儿,独立,莲步轻舞,226,令对手一定回合无法使用法术和特技
女儿,独立,似玉生香,227,令对手一定回合无法行动
女儿,独立,百毒不侵,228,给队友解毒.并回复其气血 (回复值=施法者等级+50)
女儿,独立,雨落寒沙,229,对全体敌人造成“自身等级*6+100”的伤害.有概率让对手中毒
女儿,独立,如花解语,230,令对方无法使用物理攻击
女儿,独立,飞花摘叶,231,恢复我方全体队友的魔法值 （恢复值=施法者等级X0.75+100）
女儿,独立,红袖添香,232,召唤律法精卫参与战斗，其属性为召唤者属性的80%
女儿,独立,迷神香雾,233,令3名对手变成大海龟，并让其获得降低20%敏捷的迟钝效果 (持续3回合)
女儿,独立,柳暗花明,234,令3名敌人陷入易损状态，受到任何来源的伤害会增加20% （忽略敌人一切的抗封属性，包括BOSS类敌人，持续3回合）
方寸,独立,五雷咒,236,"施展法术攻击4个敌人,造成法术伤害"
方寸,独立,催眠符,237,令对手在受到伤害前无法行动
方寸,独立,失心符,238,"令对手一定回合无法使用法术,并降低灵力"
方寸,独立,追魂符,239,"令对手一定回合无法使用物理攻击,并减少物理防御"
方寸,独立,失魂符,240,"令对手一定回合无法使用法术,并降低物理防御"
方寸,独立,定身符,241,"令对手一定回合无法使用物理攻击,并减少法术防御"
方寸,独立,碎甲符,242,降低对方多人物理防御力及灵力 (数目为 等级/30+1 )
方寸,独立,水陆道场,243,增加15%的封印技能概率 \C[17](此技能为被动技能)
方寸,独立,幻音古钟,244,对敌方4个目标释放“催眠符”，使用后休息一回合
方寸,独立,三星灭魔,245,驱除全场（含敌方）的异类、辅助、加血等状态效果 （让全场附加的状态全部清空）
普陀,独立,普渡众生,247,"给两名队友持续恢复气血,持续5个回合."
普陀,独立,紧箍咒,248,一定回合内减少对方的气血 （每回合会减少6%的当前气血）
普陀,独立,杨柳甘露,249,可以复活死亡的队友 (复活后的气血值=使用者的等级值*5)
普陀,独立,五行咒,250,对敌人造成“自身等级*8+100”的伤害 (数目为 等级/20+1 )
普陀,独立,自在心法,251,清除全体队友身上的“普渡众生”效果，根据剩余的回合数直接恢复气血 （使用后休息一回合）
普陀,独立,灵动九天,252,战斗中增加3名友方单位的法术伤害和法术防御 (持续4回合)
普陀,独立,沐日慈悲,253,使3名队友在2回合内免疫死亡，保持最低气血 (最低气血=施法者的等级)
普陀,独立,神怜苍生,254,增加角色20%的治疗技能效果 \C[17](此技能为被动技能)
普陀,独立,清静菩提,255,对2名队友使用，此队友在受到法术攻击时会加血，持续3回合 （加血值=受到伤害的25%）
普陀,独立,曙光定神,256,"让2名队友在物理攻击时,会吸取对方所掉气血的30%来加血，持续3回合 （单次最高吸收量=攻击者等级X3）"
狮驼,独立,变身,258,临时提高伤害力 (是使用象形、鹰击、狮搏和连环击的前提)
狮驼,独立,象形,259,变身状态下攻击敌人.并令其下回合无法行动 (使用后会取消自身的变身效果)
狮驼,独立,鹰击,260,"变身状态下攻击对方多人,使用后需要休息1回合 (数目为 等级/25+1 )"
狮驼,独立,威慑,261,令对手一定回合内无法行动
狮驼,独立,狮搏,262,变身状态下攻击敌方单人.造成平时120%的物理伤害
狮驼,独立,连环击,263,变身下疯狂地连续攻击敌人，使用后休息一回合 (攻击次数为 等级/25+1 )
狮驼,独立,天魔解体,264,"使用后持续一定回合数将自身的物理防御降低50%,但物理伤害增加40%"
狮驼,独立,定心术,265,战斗中提升自己的灵力
狮驼,独立,极度疯狂,266,使用后可以在受到物理攻击的时候自动反击 （附带高级反击效果）
狮驼,独立,万兽统领,267,对1名敌人造成物理伤害，攻击结束后让变身状态的回合数+1 （未变身的情况下则会获得变身效果）
盘丝,独立,勾魂,269,减少对方一定的气血（自身等级*6+100） 恢复自身气血（自身等级*4）
